Ticker;Short Name;FCF T12M;Revenue T12M;Curr Liab LF;Market Cap;P/E;Total Return YTD;Revenue T12M;EPS T12M;SE End Pd LF;Total Liab LF;Tot Debt LF;EBIT T12M;EBITDA T12M;Curr Assets LF;NI / Profit T12M;Tot Assets LF;Fitch Long Term Issuer Default Rating
CNH US Equity;CNH INDUSTRIAL N;1514750888.89;20454789055.56;2763828000.00;14146790947.83;27.75;23.64;20454789055.56;0.40;7824999936.00;40984459200.00;31727102400.00;3145934122.22;3979047111.11;36858081600.00;510000000.00;50167879200.00;BBB
IG IM Equity;ITALGAS SPA;-885400000.00;2329800000.00;2752300000.00;10471727230.82;14.45;11.09;2329800000.00;0.73;4165900032.00;13461900000.00;11395520001.04;1211100000.00;1921800000.00;3050400000.00;672178000.00;17627800000.00;BBB+
INF LN Equity;INFORMA PLC;825200000.00;3893700000.00;2675000000.00;10260730853.19;146.75;-8.89;3893700000.00;0.05;6328099840.00;6463600000.00;3862200000.00;139600000.00;563500000.00;1558100000.00;73000000.00;12791700000.00;BBB
HLE GR Equity;HELLA GMBH & CO;396317000.00;7964344000.00;2625185000.00;8577777507.32;52.90;-6.78;7964344000.00;1.46;3119902976.00;4120789000.00;1142323000.00;270390000.00;877705000.00;3856621000.00;161477000.00;7240692000.00;BBB-
ERF FP Equity;EUROFINS SCIEN;832400000.00;7296100000.00;2429700000.00;11862455060.33;24.91;5.22;7296100000.00;2.64;4576699904.00;6408700000.00;3739136170.17;784500000.00;1414000000.00;2653500000.00;474800000.00;10985400000.00;BBB-
KSP ID Equity;KINGSPAN GROUP;467900000.00;9199000000.00;2404400000.00;14372945699.43;21.29;6.27;9199000000.00;3.70;4732299776.00;5088400000.00;2669446110.90;903500000.00;1216200000.00;3301200000.00;671200000.00;9820700000.00;BBB
LI FP Equity;KLEPIERRE;664800000.00;1656300000.00;2321400000.00;9495104355.48;7.54;1.48;1656300000.00;4.54;11463600128.00;10804600000.00;8514200000.00;1713000000.00;1734900000.00;1307900000.00;1299400000.00;22268200000.00;A-
FORTUM FH Equity;FORTUM OYJ;341000000.00;4989000000.00;2288000000.00;17846589661.20;22.98;7.43;4989000000.00;0.85;8620000256.00;7824000000.00;4684300411.99;939000000.00;1254000000.00;5030000000.00;765000000.00;16444000000.00;BBB+
IRE IM Equity;IREN SPA;41584000.00;6505976000.00;2274420000.00;3413644027.54;11.47;2.74;6505976000.00;0.23;3627539968.00;8101122000.00;4620744000.00;542415000.00;1245013000.00;1926843000.00;294957008.00;11728662000.00;BBB
JAZZ US Equity;JAZZ PHARMACEUTI;1297021000.00;4267586000.00;2242521000.00;11304327070.50;21.71;8.02;4267586000.00;-5.79;4318583808.00;7340756000.00;5424305000.00;-430240000.00;288932000.00;4166043000.00;-356148008.00;11659340000.00;BB
KIE LN Equity;KIER GROUP PLC;200300000.00;4116300000.00;2177000000.00;952072366.91;15.57;-2.93;4116300000.00;0.14;520800000.00;2630600000.00;1199200000.00;123100000.00;208500000.00;1864700000.00;60700000.00;3151400000.00;BB+
PUBLI NO Equity;PUBLIC PROPERTY;-1026000000.00;1094000000.00;2174000000.00;21655797068.26;13.34;-0.84;1094000000.00;1.72;21391998976.00;34332181646.07;28675000000.00;879000000.00;816400000.00;1487000000.00;512000000.00;56595000000.00;BBB+
KPN NA Equity;KPN (KONIN) NV;1292000000.00;5797000000.00;2120000000.00;18000569592.23;22.40;18.31;5797000000.00;0.21;3560999936.00;9135000000.00;6984000000.00;1370000000.00;2716000000.00;1350000000.00;855000000.00;12696000000.00;BBB
ELIOR FP Equity;ELIOR GROUP;200000000.00;6150000000.00;2063000000.00;661926794.89;7.54;-4.09;6150000000.00;0.34;836000000.00;2941000000.00;1017995333.23;168000000.00;343000000.00;1155000000.00;88000000.00;3777000000.00;BB-
GALD SW Equity;GALDERMA GROUP A;1072000000.00;5241000000.00;2055000000.00;37302349894.01;75.97;-4.44;5241000000.00;2.61;8149000192.00;4995856971.60;2807672547.03;829000000.00;1152000000.00;2436000000.00;613000000.00;13393000000.00;BBB
GRF SM Equity;GRIFOLS SA;1480000000.00;7524000000.00;2019000000.00;6398634066.95;17.57;-2.71;7524000000.00;0.59;7602999808.00;12109000000.00;9640000000.00;1251000000.00;1701000000.00;5074000000.00;402000000.00;19712000000.00;B+
ENOG LN Equity;ENERGEAN PLC;283521000.00;1476101000.00;2017057000.00;1641943344.69;19.41;1.19;1476101000.00;1.14;646556032.00;5662096000.00;3514848000.00;444890000.00;803158000.00;1035848000.00;210019000.00;6308652000.00;BB-
AUNA US Equity;AUNA SA-CLASS A;533859000.00;4315818000.00;2013969000.00;366364176.75;5.25;0.61;4315818000.00;3.07;1815197056.00;5466825000.00;3654771000.00;671241000.00;860839000.00;1805887000.00;192075000.00;7282022000.00;B+
PCO PW Equity;PEPCO GROUP NV;628817000.00;4523463000.00;1843926000.00;15210084056.01;20.72;-11.67;4523463000.00;-0.31;163012000.00;2873988000.00;1692940000.00;319874000.00;840312000.00;1436142000.00;-175803008.00;3037000000.00;BB
ANE SM Equity;CORP ACCIONA ENE;-596000000.00;2925000000.00;1785000000.00;6553693828.51;9.99;-10.09;2925000000.00;2.02;6183000064.00;8535000000.00;4415000000.00;953000000.00;1543000000.00;2263000000.00;655000000.00;14718000000.00;BBB-
SVT LN Equity;SEVERN TRENT;-963500000.00;2645900000.00;1784200000.00;9598691879.76;30.40;14.52;2645900000.00;1.05;1805699968.00;15441200000.00;8900128742.42;758600000.00;1230800000.00;2556500000.00;315400000.00;17246900000.00;BBB
AENA SM Equity;AENA SME SA;2104800000.00;6303360000.00;1772206000.00;37905000686.65;20.59;6.97;6303360000.00;1.24;9154577408.00;9038022000.00;6993188712.15;2988135000.00;3785032000.00;3334741000.00;2136675968.00;18192599000.00;A
FGP LN Equity;FIRSTGROUP PLC;432000000.00;5019800000.00;1667600000.00;992866948.49;7.94;-7.03;5019800000.00;0.22;640000000.00;2720700000.00;1413000000.00;225900000.00;848300000.00;1168500000.00;127200000.00;3360700000.00;BBB
AU US Equity;ANGLOGOLD ASHANT;3427000000.00;9893000000.00;1620000000.00;54456876552.70;20.09;26.51;9893000000.00;5.22;9916000256.00;4899599663.14;2081666666.67;4130000000.00;5711666666.67;4647000000.00;2636000000.00;15078000000.00;BBB-
SN/ LN Equity;SMITH & NEPHEW;852000000.00;6164000000.00;1595000000.00;11095304876.78;24.12;5.45;6164000000.00;0.72;5288999936.00;5168000000.00;3360189285.71;794000000.00;1367000000.00;4103000000.00;625000000.00;10457000000.00;BBB+
SVEAF SS Equity;SVEAFASTIGHETER;-314000000.00;1590000000.00;1564000000.00;7204000091.55;84.85;-11.57;1590000000.00;0.43;14929000448.00;15244000000.00;13019000000.00;533000000.00;779000000.00;779000000.00;84000000.00;30173000000.00;BBB-
WTB LN Equity;WHITBREAD PLC;141300000.00;2893100000.00;1471900000.00;4294183296.00;17.88;0.16;2893100000.00;1.43;3192499968.00;6832700000.00;5714400000.00;494000000.00;904000000.00;1039600000.00;250700000.00;10025200000.00;BBB
HIK LN Equity;HIKMA PHARMACEUT;149000000.00;3349000000.00;1453000000.00;2708468068.92;8.85;-21.94;3349000000.00;1.82;2606000128.00;3065000000.00;1604000000.00;542000000.00;780000000.00;2643000000.00;402000000.00;5671000000.00;BBB
RENE PL Equity;REN-REDE ENERGET;86113799.03;493000000.00;1430046000.00;2505303265.16;12.94;14.77;493000000.00;0.24;1506034944.00;3873479000.00;2432333000.00;246857142.86;513142857.14;275711000.00;159813000.00;5470441926.92;BBB
GMAB DC Equity;GENMAB A/S;1149000000.00;3720000000.00;1427000000.00;111956881342.50;17.80;-12.43;3720000000.00;15.47;5847000064.00;7026000000.00;425000000.00;1065000000.00;1136000000.00;2885000000.00;963000000.00;12873000000.00;BB
GTX US Equity;GARRETT MOTIO;341000000.00;3584000000.00;1363000000.00;3584753751.24;11.93;8.69;3584000000.00;1.55;-802000000.00;3169000000.00;1469000000.00;481000000.00;597000000.00;1319000000.00;310000000.00;2367000000.00;BB
ENG SM Equity;ENAGAS SA;94420000.00;965421000.00;1310876000.00;3838154484.16;11.32;11.41;965421000.00;1.29;2316937984.00;4884547049.69;3423001000.00;236512000.00;520353000.00;1406371000.00;339112000.00;6823437000.00;BBB+
ITV LN Equity;ITV PLC;273000000.00;3511000000.00;1301000000.00;3163519866.53;13.25;-4.68;3511000000.00;0.06;1695000064.00;2362000000.00;862000000.00;460400000.00;560333333.33;2005000000.00;220000000.00;4175600015.63;BBB-
BKG LN Equity;BERKELEY GROUP;157700000.00;2387100000.00;1241700000.00;3723365654.04;10.90;2.97;2387100000.00;3.69;3599300096.00;2977900000.00;681700000.00;486800000.00;490300000.00;6002100000.00;365000000.00;6577200000.00;BBB-
KOF FP Equity;KAUFMAN & BROAD;-23402524.86;1135982000.00;1220152000.00;612743386.28;11.31;3.68;1135982000.00;2.74;237582000.00;67700000.00;56269000.00;91000000.00;97266666.67;1307272000.00;54210000.00;1589705000.00;BBB-
VK FP Equity;VALLOUREC;385000000.00;3809000000.00;1169000000.00;4533316432.38;12.56;21.70;3809000000.00;1.52;2393999872.00;2488000000.00;923000000.00;593000000.00;753000000.00;2698000000.00;356000000.00;4882000000.00;BBB-
PSON LN Equity;PEARSON PLC;661000000.00;3577000000.00;1161000000.00;6119941979.54;19.03;-6.99;3577000000.00;0.51;3663000064.00;2795000000.00;1481000000.00;506000000.00;713000000.00;2320000000.00;335000000.00;6458000000.00;BBB
SGRO LN Equity;SEGRO PLC;-48000000.00;734000000.00;1148000000.00;10462518869.98;19.05;7.86;734000000.00;0.41;12273000448.00;5908000000.00;4951000000.00;553000000.00;570000000.00;319000000.00;551000000.00;18181000000.00;BBB+
NOMD US Equity;NOMAD FOODS;140300000.00;3032500000.00;1067900000.00;1467749330.36;9.90;-16.34;3032500000.00;0.90;2496800000.00;3838200000.00;2137860863.79;325400000.00;434800000.00;1146800000.00;136700000.00;6335000000.00;BB
EDV CN Equity;ENDEAVOUR MINING;1140400000.00;4233900000.00;1042900000.00;20100790216.50;20.38;17.86;4233900000.00;2.74;3418099968.00;2188700000.00;730400000.00;1638500000.00;2272400000.00;1157200000.00;665400000.00;5606800000.00;BB
IMCD NA Equity;IMCD NV;309240000.00;4778874000.00;1034899000.00;4273508508.08;19.83;-5.40;4778874000.00;3.69;2042177024.00;2593695000.00;1790213000.00;371253000.00;514171000.00;1795148000.00;217578000.00;4635872000.00;BBB-
PRGO US Equity;PERRIGO CO PLC;143600000.00;4253100000.00;1012900000.00;1541672742.40;7.75;-17.65;4253100000.00;-10.28;2935500032.00;5599700000.00;3817400000.00;-1122200000.00;-736000000.00;2797400000.00;-1425399968.00;8535200000.00;BB
NVT US Equity;NVENT ELECTRIC;371900000.00;3893100000.00;1003500000.00;17879193129.60;40.64;8.62;3893100000.00;4.35;3730200064.00;3167600000.00;1746700000.00;616800000.00;855700000.00;1639600000.00;710300000.00;6851900000.00;BBB
MULT GR Equity;MULTITUDE AG;76069000.00;220038000.00;985370000.00;131429962.14;4.98;2.90;220038000.00;1.21;200954000.00;1124669000.00;110271000.00;86391000.00;99431000.00;1252354000.00;27774000.00;1325623000.00;B+
EQT SS Equity;EQT AB;367000000.00;2632000000.00;978000000.00;357440234927.90;43.32;-20.97;2632000000.00;0.62;7513999872.00;3854000000.00;2644000000.00;953000000.00;1382000000.00;6685000000.00;728000000.00;11368000000.00;A-
EMG LN Equity;MAN GROUP PLC/JE;233000000.00;1405000000.00;932000000.00;3046915833.04;23.16;18.01;1405000000.00;0.16;1574000000.00;3186000000.00;1686000000.00;398000000.00;473000000.00;3621000000.00;175000000.00;4760000000.00;BBB+
FNM IM Equity;FNM SPA;-18858000.00;913759000.00;894878000.00;213102278.15;3.12;4.03;913759000.00;0.16;466512992.00;1823638000.00;1087186000.00;80615000.00;215653000.00;974912000.00;67373000.00;2290151000.00;BBB+
NOS PL Equity;NOS SGPS;446900000.00;1823200000.00;885000000.00;2792174718.90;11.43;36.24;1823200000.00;0.48;1124499968.00;2423900000.00;1675200000.00;301100000.00;806900000.00;567700000.00;245844000.00;3548400000.00;BBB
TEMN SW Equity;TEMENOS AG-REG;333198000.00;1090830000.00;850387000.00;5274389122.73;22.91;-9.23;1090830000.00;4.03;477975008.00;1771278000.00;787692958.16;247991000.00;374597000.00;494120000.00;280606000.00;2249253000.00;BBB
SPG GR Equity;SPRINGER NATURE;440600000.00;1889900000.00;807800000.00;3086757200.32;18.79;-19.56;1889900000.00;0.82;1834000000.00;3649112709.22;1651200000.00;418000000.00;704800000.00;764700000.00;164300000.00;5098500000.00;BBB-
ALLE US Equity;ALLEGION PLC;685700000.00;4067300000.00;755400000.00;13116511393.84;19.86;-4.37;4067300000.00;7.48;2067600000.00;3156100000.00;2150300000.00;859500000.00;1061800000.00;1391800000.00;643800000.00;5223700000.00;BBB
IPS FP Equity;IPSOS;213185000.00;2524714000.00;731751000.00;1589014562.76;8.27;4.50;2524714000.00;4.33;1429048064.00;1510300000.00;512308000.00;278628000.00;379901000.00;1131384000.00;186551000.00;3077984000.00;BBB
LMP LN Equity;LONDONMETRIC PRO;24300000.00;426500000.00;728500000.00;4824788333.67;13.82;8.70;426500000.00;0.15;4716000256.00;3252700000.00;2594678832.00;463500000.00;443400000.00;275100000.00;314400000.00;7968700000.00;BBB+
AZE BB Equity;AZELIS GROUP NV;396760000.00;4110780000.00;709787000.00;1881856099.30;17.16;-16.84;4110780000.00;0.45;2715727872.00;2690947000.00;1992252666.67;313322000.00;440529000.00;1386537000.00;111193000.00;5406675000.00;BB+
IHS US Equity;IHS HOLDING LTD;603065000.00;1765822000.00;667100000.00;2697537180.33;6.81;8.45;1765822000.00;1.40;38100000.00;4539528799.81;3759828799.81;681584000.00;1154479000.00;1069200000.00;466015008.00;4683300000.00;B+
INW IM Equity;INFRASTRUTTURE W;519420000.00;1070330000.00;666932000.00;7767303268.90;21.01;7.23;1070330000.00;0.40;3597613056.00;5793670000.00;3773047491.64;576971000.00;968429000.00;273459000.00;365286000.00;9391283000.00;BBB-
DBG FP Equity;DERICHEBOURG;96500000.00;3337100000.00;653700000.00;1365745992.34;11.14;28.74;3337100000.00;0.77;1124400000.00;1445677527.07;846100000.00;157900000.00;318600000.00;721500000.00;122000000.00;2568100000.00;BB+
BLND LN Equity;BRIT LAND CO PLC;-391000000.00;498000000.00;624000000.00;3839598213.12;8.59;-4.46;498000000.00;0.45;5818999808.00;3175000000.00;2728000000.00;428000000.00;402000000.00;175000000.00;447000000.00;8994000000.00;A-
CTEC LN Equity;CONVATEC GROUP P;335000000.00;2439000000.00;616000000.00;4844123387.52;38.53;2.22;2439000000.00;0.09;1518000000.00;2263000000.00;1267066597.80;316000000.00;540000000.00;940000000.00;175000000.00;3781000000.00;BBB
IGG LN Equity;IG GROUP HOLDING;530300000.00;1089900000.00;598100000.00;4527756719.04;12.62;2.13;1089900000.00;1.06;1842400000.00;1222000000.00;567700000.00;470800000.00;528700000.00;2053300000.00;380400000.00;3064400000.00;BBB
SCHP FP Equity;SECHE ENVIRONNEM;115936000.00;1262772000.00;589652000.00;509181057.58;11.56;-11.17;1262772000.00;5.64;572270016.00;1667973000.00;1149438000.00;112664000.00;311111000.00;788807000.00;43465000.00;2240243000.00;BB
VIRI FP Equity;VIRIDIEN;343800000.00;1070700000.00;532600000.00;870379475.93;14.61;21.34;1070700000.00;9.88;1168300032.00;1581700000.00;1061000000.00;237300000.00;473400000.00;774700000.00;71100000.00;2750000000.00;B
TITC BB Equity;TITAN SA;186206398.21;2672059000.00;532242000.00;3700878693.75;16.38;-7.87;2672059000.00;2.96;2030310016.00;1646786788.63;694079000.00;422694000.00;599870000.00;1226184000.00;235408000.00;3397847000.00;BB+
ASMDEE SS Equity;ASMODEE GROUP-B;65335000.00;1617928000.00;509176000.00;24388100184.71;54.28;-3.27;1617928000.00;0.18;1893513984.00;1292628586.71;690083000.00;192998000.00;263822000.00;936875000.00;41169000.00;3275779000.00;BB-
NRP SJ Equity;NEPI ROCKCASTLE;309890000.00;924166000.00;501179000.00;100734447065.69;14.34;-2.56;924166000.00;0.70;5006336000.00;3944599000.00;3105937000.00;568629000.00;571836000.00;440223000.00;498839008.00;8950935000.00;BBB+
EDR SM Equity;EDREAMS ODIGEO S;87903000.00;684039000.00;480995000.00;360172059.89;4.25;-25.56;684039000.00;0.70;243152000.00;911339455.70;386476000.00;121808000.00;170465000.00;80997000.00;81260000.00;1103211000.00;B+
HOME SM Equity;NEINOR HOMES SA;260856666.67;704633000.00;477526000.00;1799301051.63;14.61;0.15;704633000.00;1.24;992718016.00;824366000.00;500394000.00;102537500.00;109033333.33;1604526000.00;123250000.00;2741945651.66;B+
CARM FP Equity;CARMILA;153322000.00;694870000.00;434329000.00;2439843014.91;6.99;2.24;694870000.00;2.49;3351407104.00;3378597000.00;2790400000.00;475290000.00;478400000.00;320030000.00;352446000.00;6730005000.00;BBB
WDP BB Equity;WAREHOUSES DE PA;-31286000.00;522132000.00;416546000.00;5732702982.48;16.04;10.85;522132000.00;1.53;5018201088.00;3896198000.00;3488856419.29;413519000.00;424968000.00;86852000.00;353918000.00;8914399000.00;BBB+
DLN LN Equity;DERWENT LONDON;65200000.00;388700000.00;400200000.00;1977443259.69;12.20;0.69;388700000.00;1.44;3615300096.00;1698400000.00;1511400000.03;212700000.00;213500000.00;212000000.00;161100000.00;5313700000.00;BBB+
BIRK US Equity;BIRKENSTOCK HOLD;214993000.00;2137611000.00;397677000.00;7391184390.64;16.94;-1.74;2137611000.00;2.03;2771971072.00;2166417371.24;1346686000.00;557167000.00;674672000.00;1245316000.00;378765000.00;4949680000.00;BB+
ETS AV Equity;EUROTELESITES AG;100252500.00;280153000.00;389146000.00;777464971.48;23.36;2.62;280153000.00;0.20;413940992.00;1685172000.00;1291706000.00;104482000.00;239252000.00;96484000.00;33425000.00;2099113000.00;BBB-
VGP BB Equity;VGP;-123800000.00;150702000.00;384870000.00;2750964332.89;9.46;2.13;150702000.00;10.64;2490889984.00;2603319000.00;2189303975.00;321057000.00;331791000.00;682233000.00;290438992.00;5204123000.00;BBB-
HTWS LN Equity;HELIOS TOWER;84700000.00;820400000.00;352300000.00;2021347966.00;32.21;18.47;820400000.00;0.08;108700000.00;2292700000.00;1953100000.00;243100000.00;424500000.00;537900000.00;84700000.00;2401400000.00;BB-
CMCX LN Equity;CMC MARKETS PLC;123208000.00;329563000.00;319055000.00;909400254.75;13.94;7.69;329563000.00;0.23;425536000.00;341924000.00;19842000.00;85788000.00;100100000.00;676743000.00;62865000.00;767460000.00;BBB-
PFD LN Equity;PREMIER FOODS;106900000.00;1150100000.00;285600000.00;1669825529.92;12.76;11.24;1150100000.00;0.15;1393400064.00;814700000.00;334500000.00;188900000.00;235400000.00;393900000.00;132200000.00;2208100000.00;BB+
HMSO LN Equity;HAMMERSON PLC;-435800000.00;154600000.00;271300000.00;1824527434.70;7.52;3.94;154600000.00;0.46;2094800000.00;1595600000.00;1531000000.00;84600000.00;86800000.00;441700000.00;232100000.00;3931200000.00;BBB+
MSP SJ Equity;MAS P.L.C.;-9464000.00;101865000.00;250135000.00;14115232318.59;12.34;-12.79;101865000.00;0.19;1212059008.00;639594000.00;380434000.00;59289000.00;59367000.00;329136000.00;124967000.00;1851653000.00;BB-
SRG IM Equity;SNAM SPA;-21000000.00;3885000000.00;215000000.00;21684255058.03;17.09;16.67;3885000000.00;0.38;9278000128.00;18981000000.00;17509000000.00;1813000000.00;2952000000.00;0.00;1270000000.00;28259000000.00;BBB+
WHA NA Equity;WERELDHAVE NV;35998000.00;215859000.00;213007000.00;988248971.70;13.44;11.89;215859000.00;1.60;1342417024.00;1295825000.00;1033065116.07;142548000.00;143789000.00;163790000.00;73344000.00;2638242000.00;BBB
GRI LN Equity;GRAINGER PLC;-25700000.00;261600000.00;202300000.00;1358627680.02;6.66;3.36;261600000.00;0.28;2039800064.00;1732000000.00;1584607063.01;128000000.00;129700000.00;548200000.00;202600000.00;3771800000.00;BBB-
YCPS SM Equity;CASTELLANA PROPE;-386496000.00;138246000.00;178971000.00;1193845680.50;10.42;27.21;138246000.00;0.90;975068032.00;845647000.00;674367000.00;135443000.00;135517000.00;75718000.00;112024000.00;1820715000.00;BBB
BESI NA Equity;BE SEMICONDUCTOR;162346000.00;591331000.00;154325000.00;12853642803.92;113.64;41.05;591331000.00;1.66;416396992.00;697350000.00;521238000.00;173056000.00;206779000.00;856984000.00;131641000.00;1113747000.00;BB+
IGD IM Equity;IMMOBILIARE GRAN;23498000.00;131283000.00;77383000.00;435850522.11;13.13;13.54;131283000.00;0.30;992545024.00;863894000.00;799097000.00;96153000.00;100044000.00;41431000.00;33115000.00;1856439000.00;BBB-
MONT BB Equity;MONTEA NV;-104511000.00;140429000.00;73712000.00;1724792479.38;10.43;0.96;140429000.00;7.09;1894349056.00;1410518185.14;1279274941.67;185574000.00;185962000.00;59446000.00;163256000.00;3261957000.00;BBB+
NRR LN Equity;NEWRIVER REIT PL;18900000.00;120900000.00;56800000.00;329018492.12;11.66;12.01;120900000.00;0.07;450900000.00;565800000.00;437600000.00;42200000.00;44600000.00;110300000.00;29900000.00;1016700000.00;BBB
SUPR LN Equity;SUPERMARKET INCO;-56625000.00;114009000.00;42244000.00;1045594695.23;17.20;5.47;114009000.00;0.05;1103251968.00;760100000.00;603602000.00;86102000.00;86161000.00;222984000.00;61528000.00;1750770000.00;BBB+
CATE SS Equity;CATENA AB;424000000.00;2666000000.00;0.00;31737342492.00;17.57;6.08;2666000000.00;27.22;23971999744.00;22826000000.00;18047000000.00;2156000000.00;2145125000.00;0.00;1644000000.00;46798000000.00;BBB
